isin,ticker,name
DE0005201602,BEZ,BERENTZEN-GRP.AG
DE0005220909,NXU,NEXUS AG O.N.
DE0005437305,COP,COMPUGROUP MED.SE O.N.
DE0005470306,EVD,CTS EVENTIM KGAA
DE0005550636,DRW3,DRAEGERWERK VZO O.N.
DE0005659700,EUZ,ECKERT+ZIEGLER AG O.N.
DE0005800601,GFT,GFT TECHNOLOGIES SE
DE0006042708,HAW,HAWESKO HOLDING AG    SVG
DE0007446007,TTK,TAKKT AG O.N.
DK0060534915,NOVC,"NOVO-NORDISK NAM.B DK-,20"
FR0000120271,TOTB,"TOTAL S.A.      EO 2,50"
FR0010524777,LYM9,LYX.NEW ENERGY U.ETF DEO
FR0010527275,LYM8,LYX.WORLD WATER U.ETF DEO
FR0010688176,18M3,AMUNDI ETF MSCI EUR.BKS
GB00B128C026,AB1,"AIR BERLIN PLC    EO -,25"
GB0002374006,GUI,"DIAGEO PLC LS-,28935185"
GB0002875804,BMT,"BRIT.AMER.TOBACCO  LS-,25"
GB0030913577,BTQ,BT GROUP PLC      LS 0.05
IE00BL25JL35,XDEQ,CFS-DBXT.MSCI WQF.DR 1CDL
IE00BNH72088,ZPRC,SSGA S.E.E.II-S.TR G.C.BD
IE00BYTBXV33,RY4C,"RYANAIR HLDGS PLC EO-,006"
IE00B4JNQZ49,QDVH,ISHSV-S+P500 FIN.SECT.DLA
IE00B5BMR087,SXR8,ISHSVII-CORE S+P500 DLACC
IE00B5M1WJ87,SPYW,SPDR S+P EO DIV.ARIST.ETF
LU0061462528,RRTL,RTL GROUP
LU0340285161,UIM7,UBS-ETF-MSCI WORLD INH. A
LU0392494992,X013,C.-MSCI NO.AM.TRN U.ETF I
LU0533033238,LYPE,MUL-LYX.MSCI W.HCTRUE CEO
LU0603942888,C005,COMSTAGE-SDAX UCITS ETF I
LU0635178014,E127,COMS.-MSCI EM.M.T.U.ETF I
LU1066226637,STM,"STABILUS S.A. INH. EO-,01"
LU1598757687,ARRD,ARCELORMITTAL S.A. NOUV.
NL0000009538,PHI1,"KONINKL. PHILIPS EO -,20"
US4781601046,JNJ,JOHNSON + JOHNSON    DL 1
US5770811025,MTT,MATTEL INC.          DL 1
CY0105562116,AT1,"AROUNDTOWN PROP.HD.EO-,01"
CH0010645932,GIN,GIVAUDAN SA NA      SF 10
CH0012032113,RHO,ROCHE HLDG AG INH. SF 1
CH0025751329,LTEC,"LOGITECH INTL NA  SF -,25"
CH0030170408,GBRA,GEBERIT AG NA DISP. SF-10
CH0126881561,SR9,"SWISS RE AG NAM.  SF -,10"
DE000A0X9AA8,DES2,ETFS DAX DLY2XSH.GO UC.DZ
DE000ETFL235,EL4X,DK DAXPLUS MAX.DIVIDEND
DE000ETF9017,E901,COMSTAGE 1-DAX UCIT.ETF I
DE0002635273,EXSB,ISHARES DIVDAX UCITS ETF
DE0005933931,EXS1,ISHS CORE DAX UCITS ETF
LU0252634307,LYY8,MUL-LYX.DLY.LEVDAX UC.ETF
LU0274211480,DBXD,DB X-TRACK.DAX ETF(DR)1C
LU0838782315,XDDX,DB X-TR.DAX U.E.DR INC.1D
LU1104579369,E043,COMST.-LEVDAX X2 UC.ETF I
DE000A0BVU28,OSP2,USU SOFTWARE AG
DE000A0B65S3,PA8,PAION O.N
DE000A0D8Q07,EXSI,ISHARES EURO STOXX U.ETF
DE000A0H08M3,EXH1,IS.S.E.600 OIL+G.U.ETF A.
DE000A0H08R2,EXV2,ISH.S.EU.600 TEL.U.ETF A.
DE000A0KEXC7,V3S,VECTRON SYSTEMS      O.N.
DE000A1YKTG2,GY3L,ETFS EQ.SEC.DZ/UNDATED
DE000TCAG172,TC1,TELE COLUMBUS AG NA O.N.
DE0002635299,EXSH,ISH.S.EU.SEL.DIV.30 U.ETF
DE0002635307,EXSA,ISH.STOX.EUROPE 600 U.ETF
DE0005403901,CWC,CEWE STIFT.KGAA  O.N.
DE0005495329,HOC,HOLIDAYCHECK GRP AG
DE0005933923,EXS3,ISHARES MDAX UCITS ETF
DE0005933964,EXI1,ISHARES SLI UCITS ETF DE
DE0006569908,MLP,MLP AG
ES0178430E18,TNE5,TELEFONICA INH.      EO 1
FR0000120578,SNW,SANOFI SA INHABER    EO 2
GB00B24CGK77,3RB,"RECKITT BENCK.GRP LS -,10"
GB0000566504,BIL,"BHP BILLITON       DL-,50"
IE00BGHQ0G80,XMAW,CONC.-DB XT M.ACWI ETF 1C
IE00BSPLC413,ZPRV,SSGA S.E.E.II-M.U.S.C.V.W
IE00BYYXBF44,EHDL,P.SHS FTSE E.M.H.D.L.V.DL
IE00B0M63177,IQQE,IS MSCI EM U.ETF USD D
IE00B1TXK627,IQQQ,ISHSII-GL.WATER DLDIS
IE00B48X4842,SPYX,SPDR MSCI EM.MAR.SM.C.ETF
LU0136240974,UIM5,UBS-ETF-MSCI JAPAN INH.A
LU0292096186,DXSB,DB X-TR.S.GL SE.DI.100 1D
LU0392496427,C030,COMST.-DJ S.T.30N.U.ETF I
LU0476289466,D5BI,DB X-TR.MSCI MEX.I.DR 1C
LU0514695187,XCS5,DB X-TR.MSCI IND.IDX.1CDL
LU0533033667,LYPG,MUL-LYX.MSCI W.ITTRUE CEO
LU0659578842,XBAS,DBX-T.MSCI SING.IDX.1CDL
NL0000009355,UNI3,"UNILEVER CVA      EO -,16"
DE0005933956,EXW1,ISHARES EO STOXX 50 U.ETF
LU0378434079,C050,COMST.-E.STOXX 50 U.ETF I
LU0488317297,C054,CS-FR EO STOXX 50 U.ETF I
US01609W1027,AHLA,ALIBABA GR.HLDG SP.ADR 1
US02079K1079,ABEC,"ALPHABET INC.CL C DL-,001"
US02079K3059,ABEA,"ALPHABET INC.CL.A DL-,001"
US0382221051,AP2,APPLIED MATERIALS INC.
US0970231058,BCO,BOEING CO.           DL 5
US35671D8570,FPMB,FREEPORT-MCMORAN INC.
US64110L1061,NFC,"NETFLIX INC.      DL-,001"
US67066G1040,NVD,"NVIDIA CORP.      DL-,001"
US88160R1014,TL0,"TESLA INC. DL -,001"
US90184L1026,TWR,"TWITTER INC.   DL-,000005"
US9043111072,U9R,"UNDER ARMOUR A DL-,000333"
AT0000603709,AGB1,AGRANA BET.AG INH.
CH0011075394,ZFIN,"ZURICH INSUR.GR.NA.SF0,10"
DE000ETFL011,EL4A,DK DAX
DE000A0Z23Q5,ADN1,ADESSO AG  O.N.
DE000A1A6V48,KSC,KPS AG NA O.N.
DE000A1PHBB5,RSL2,R. STAHL AG NA O.N.
DE000A1YKTK4,GY3S,ETFS EQ.SEC.DZ/UNDATED
DE0005104400,AOF,ATOSS SOFTWARE AG
DE0005932735,YOC,YOC AG O.N.
DE0005933972,EXS2,ISHARES TECDAX UCITS ETF
DE0006202005,SZG,SALZGITTER AG O.N.
DE0007074007,KWS,KWS SAAT SE O.N.
FR0000120628,AXA,"AXA S.A. INH.     EO 2,29"
FR0010755611,18MF,AMUNDI ETF LEV. USA
FR0011020965,AMEA,AMUNDI ETF MSCI EM ASIA A
GB00B03MM408,R6C3,ROYAL DUTCH SHELL B EO-07
GB0004544929,ITB,IMPERIAL BRANDS PLC LS-10
GB0031348658,BCY,"BARCLAYS PLC      LS 0,25"
IE00BM67HT60,XDWT,DB-XTR.MSCI WITIU(PD)1CDL
IE00BYZK4669,2B77,ISHS IV-AGEING POPUL.ETF
IE00BYZK4883,2B79,ISHSIV-DIGITILASATION DLA
IE00B5L8K969,CEBL,ISHSVII-MSCI EM AS.DL ACC
LU0322250985,DX2G,DB X-TR.CAC 40 ETF(DR) 1D
LU0629459743,UIMM,UBS-ETF-MSCI WLD.S.RESP.A
DE000ETC0290,X0D1,COMMERZBANK ETC UNL.
SE0006027546,SVAB,STOCKHOLM IT VENTURES AB
DE0002635281,EXSG,IS.EO ST.SEL.DIV.30 U.ETF
LU0380865021,DXET,DB X-TR.EO STOXX 50 DR 1C
US3696041033,GEC,"GENL EL. CO.      DL -,06"
US4404521001,HO7,"HORMEL FOODS   DL-,01465"
US92826C8394,3V64,"VISA INC. CL. A DL -,0001"
CA82967M1005,ZSB,SIRONA BIOCHEM CORP.
CH0244767585,0UB,"UBS GROUP AG      SF -,10"
LU0252633754,LYY7,MUL-LYXOR DAX DR UC.ETF
DE000A0D8QZ7,EXSE,ISH.S.EUR.SMALL 200 U.ETF
DE000A0H0728,EXXY,ISHS DIV.COMM.SWAP UC.ETF
DE000A11QWW6,MYRK,MYHAMMER HOLDING AG O.N.
DE000A13SXB0,WBAG,WILD BUNCH AG O.N.
DE0006627201,MUB,MUEHLBAUER HOLD.AG O.N.
DE0007499303,TPN,TRIPLAN AG O.N.
